ticker,cik,name,status,has_ai_disclosure,total_ai_mentions,risk_text_length,cat_core_ai,cat_ai_tech,cat_ai_risk,cat_ai_infra,cat_ai_regulation,cat_mit4_malicious,cat_mit5_human,cat_mit6_socio,cat_mit6_environ,cat_mit7_safety,kw_nvidia,kw_data_center,kw_gpu,kw_sustainability,kw_compute,kw_ai_model,kw_misuse,kw_eu_ai_act,kw_generative_ai,kw_llm,kw_bias,kw_artificial_intelligence,kw_machine_learning,kw_large_language_model,kw_algorithm,kw_monopol,kw_ai_system,kw_ai_regulation,kw_disinformation,kw_misinformation,kw_environmental_impact,kw_automation,kw_energy_consumption,kw_autonomous,kw_cyberattack,kw_manipulation,kw_agentic,kw_training_data,kw_ai_agent,kw_data_center_energy,kw_ai_governance,kw_responsible_ai,kw_computer_vision,kw_carbon_footprint,kw_robotics,kw_labor_disruption,kw_uncontrollable,kw_misalignment,kw_human_oversight,kw_ai_safety,kw_explainability,kw_dual-use,kw_nlp,kw_predictive_analytics,kw_adversarial,kw_ai_legislation,kw_hallucination,kw_neural_network,kw_ai_ethics,kw_algorithmic_accountability,kw_natural_language_processing,kw_overreliance,kw_job_displacement,kw_jailbreak,kw_weaponiz,kw_deep_learning,kw_over-reliance
PLTR,1321655,Palantir Technologies Inc.,analyzed,True,42,296294.0,14.0,1.0,4.0,7.0,0.0,15.0,0.0,0.0,1.0,0.0,,1.0,,,6.0,2.0,3.0,,3.0,,3.0,2.0,5.0,1.0,1.0,,1.0,,,,1.0,,,,12.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
NFLX,1065280,NETFLIX INC,analyzed,True,14,70366.0,3.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,8.0,,3.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV,1551152,AbbVie Inc.,analyzed,True,3,58576.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST,909832,COSTCO WHOLESALE CORP /NEW,no_risk_section,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD,354950,"HOME DEPOT, INC.",analyzed,True,45,113524.0,27.0,1.0,0.0,3.0,0.0,4.0,1.0,0.0,9.0,0.0,,,,7.0,3.0,,4.0,,,22.0,,5.0,,,,,,,,1.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
AMD,2488,ADVANCED MICRO DEVICES INC,analyzed,True,64,126011.0,9.0,0.0,0.0,37.0,1.0,12.0,0.0,0.0,5.0,0.0,9.0,7.0,12.0,4.0,9.0,1.0,5.0,1.0,6.0,1.0,,,1.0,,,,,,,,,,1.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,80424,PROCTER & GAMBLE Co,analyzed,True,13,38117.0,7.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,,,,1.0,2.0,,3.0,,,,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE,40545,GENERAL ELECTRIC CO,no_risk_section,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNH,731766,UNITEDHEALTH GROUP INC,analyzed,True,15,65703.0,9.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,,,,,,1.0,,2.0,5.0,,1.0,1.0,,,,,,,,,2.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSCO,858877,"CISCO SYSTEMS, INC.",analyzed,True,44,137895.0,5.0,4.0,0.0,27.0,0.0,3.0,0.0,0.0,4.0,1.0,1.0,24.0,,4.0,2.0,,2.0,,2.0,,,2.0,1.0,,1.0,,,,,,,3.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO,21344,COCA COLA CO,analyzed,True,43,145662.0,9.0,2.0,0.0,2.0,0.0,5.0,0.0,0.0,25.0,0.0,,1.0,,21.0,1.0,,3.0,,,,,7.0,2.0,,,,,,,,2.0,1.0,,,2.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
CVX,93410,CHEVRON CORP,analyzed,True,4,38532.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBM,51143,INTERNATIONAL BUSINESS MACHINES CORP,analyzed,True,12,36444.0,6.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,,,2.0,,1.0,1.0,6.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT,18230,CATERPILLAR INC,analyzed,True,4,53519.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
MU,723125,MICRON TECHNOLOGY INC,analyzed,True,82,161972.0,5.0,8.0,1.0,38.0,0.0,8.0,0.0,2.0,19.0,1.0,,29.0,1.0,19.0,8.0,1.0,2.0,,2.0,,1.0,1.0,,,3.0,,1.0,,,,,2.0,,3.0,6.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
AXP,4962,AMERICAN EXPRESS CO,analyzed,True,52,104642.0,31.0,1.0,2.0,4.0,0.0,11.0,2.0,0.0,1.0,0.0,,1.0,,1.0,3.0,,3.0,,,,2.0,22.0,9.0,,,,,,2.0,,,1.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRK,310158,"Merck & Co., Inc.",analyzed,True,14,74474.0,6.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,,,,4.0,,,1.0,,,,2.0,3.0,1.0,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRM,1108524,"Salesforce, Inc.",analyzed,True,44,119295.0,13.0,0.0,2.0,17.0,0.0,6.0,0.0,0.0,3.0,3.0,,14.0,,3.0,3.0,1.0,2.0,,7.0,,2.0,2.0,1.0,1.0,,,1.0,,,,,,,,4.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTX,101829,RTX Corp,analyzed,True,13,109549.0,7.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,,,,2.0,,,2.0,,,1.0,,6.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM,1413329,Philip Morris International Inc.,analyzed,True,10,71939.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,,,,1.0,,,,,,,,4.0,,,,,,,,,1.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APP,1751008,AppLovin Corp,analyzed,True,20,197698.0,7.0,1.0,1.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,,,,,1.0,,3.0,,2.0,,1.0,1.0,2.0,,1.0,,2.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD,63908,MCDONALDS CORP,no_risk_section,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMUS,1283699,"T-Mobile US, Inc.",analyzed,True,18,65041.0,1.0,1.0,1.0,0.0,0.0,13.0,0.0,0.0,2.0,0.0,,,,2.0,,,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABT,1800,ABBOTT LABORATORIES,analyzed,False,0,33822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMO,97745,THERMO FISHER SCIENTIFIC INC.,analyzed,True,10,49201.0,3.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,,1.0,,1.0,3.0,,2.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHOP,1594805,SHOPIFY INC.,analyzed,True,41,232850.0,27.0,1.0,5.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,7.0,,,,,26.0,5.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEP,77476,PEPSICO INC,analyzed,True,37,104572.0,11.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,16.0,0.0,,,,12.0,,,1.0,,,,,10.0,1.0,,,,,,1.0,,4.0,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMAT,6951,APPLIED MATERIALS INC /DE,no_risk_section,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRCX,707549,LAM RESEARCH CORP,analyzed,True,6,81251.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,2.0,,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS,1744489,Walt Disney Co,analyzed,True,15,62829.0,5.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,3.0,,,,3.0,1.0,,1.0,,3.0,,,1.0,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,
