ticker,cik,name,status,has_ai_disclosure,total_ai_mentions,risk_text_length,cat_core_ai,cat_ai_tech,cat_ai_risk,cat_ai_infra,cat_ai_regulation,cat_mit4_malicious,cat_mit5_human,cat_mit6_socio,cat_mit6_environ,cat_mit7_safety,kw_nvidia,kw_data_center,kw_gpu,kw_sustainability,kw_compute,kw_ai_model,kw_misuse,kw_eu_ai_act,kw_generative_ai,kw_llm,kw_bias,kw_artificial_intelligence,kw_machine_learning,kw_large_language_model,kw_algorithm,kw_monopol,kw_ai_system,kw_ai_regulation,kw_disinformation,kw_misinformation,kw_environmental_impact,kw_automation,kw_energy_consumption,kw_autonomous,kw_cyberattack,kw_manipulation,kw_agentic,kw_training_data,kw_ai_agent,kw_data_center_energy,kw_ai_governance,kw_responsible_ai,kw_computer_vision,kw_carbon_footprint,kw_robotics,kw_labor_disruption,kw_uncontrollable,kw_misalignment,kw_human_oversight,kw_ai_safety,kw_explainability,kw_dual-use,kw_nlp,kw_predictive_analytics,kw_adversarial,kw_ai_legislation,kw_hallucination,kw_neural_network,kw_ai_ethics,kw_algorithmic_accountability,kw_natural_language_processing,kw_overreliance,kw_job_displacement,kw_jailbreak,kw_weaponiz,kw_deep_learning,kw_over-reliance
CHTR,1091667,"CHARTER COMMUNICATIONS, INC. /MO/",analyzed,True,8,56372.0,1.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,4.0,,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTS,1780312,"AST SpaceMobile, Inc.",analyzed,True,12,189246.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HBAN,49196,HUNTINGTON BANCSHARES INC /MD/,no_risk_section,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COHR,820318,COHERENT CORP.,analyzed,True,10,119313.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,,1.0,1.0,,,,,,1.0,2.0,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
BRO,79282,"BROWN & BROWN, INC.",no_risk_section,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EME,105634,"EMCOR Group, Inc.",analyzed,True,7,70975.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,3.0,,,,,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSLR,1274494,"FIRST SOLAR, INC.",analyzed,True,13,132508.0,7.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,1.0,1.0,1.0,,,3.0,,1.0,,1.0,,1.0,,2.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
TSCO,916365,TRACTOR SUPPLY CO /DE/,analyzed,True,12,66522.0,6.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,4.0,,2.0,,,3.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKL,1096343,MARKEL GROUP INC.,analyzed,True,18,107305.0,8.0,1.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,,1.0,,,,,1.0,,,,,7.0,1.0,,,,,,,,,,,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOV,29905,DOVER Corp,analyzed,True,13,30037.0,3.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,3.0,0.0,,,,3.0,,,2.0,,,,,2.0,1.0,,,,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO,731802,ATMOS ENERGY CORP,analyzed,True,3,24955.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFX,33185,EQUIFAX INC,analyzed,True,31,63227.0,23.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,1.0,,2.0,1.0,,,,,,2.0,17.0,6.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ULTA,1403568,"Ulta Beauty, Inc.",analyzed,False,0,2871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTE,936340,DTE ENERGY CO,analyzed,True,2,33063.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
EXE,895126,EXPAND ENERGY Corp,analyzed,True,8,130059.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,,,,4.0,,,,,,,,,,,,,,,,,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,1383312,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",analyzed,True,19,48487.0,5.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,,7.0,,2.0,4.0,,,,1.0,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZM,1585521,"Zoom Communications, Inc.",analyzed,True,65,251181.0,21.0,8.0,2.0,26.0,1.0,3.0,0.0,0.0,1.0,3.0,,23.0,,,3.0,7.0,,,6.0,2.0,1.0,3.0,2.0,1.0,4.0,,,,,,,3.0,,,2.0,,3.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,
CBOE,1374310,"Cboe Global Markets, Inc.",analyzed,True,11,113976.0,2.0,0.0,0.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,,1.0,,,4.0,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLTR,935703,"DOLLAR TREE, INC.",analyzed,True,11,98851.0,1.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,,,,4.0,,,,,,,1.0,,,1.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
NTRS,73124,NORTHERN TRUST CORP,no_risk_section,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEE,1002910,AMEREN CORP,analyzed,True,8,63841.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,,1.0,,,,,,,,,,5.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WRB,11544,BERKLEY W R CORP,analyzed,True,20,58234.0,7.0,0.0,1.0,8.0,0.0,3.0,0.0,0.0,1.0,0.0,,,,1.0,7.0,,3.0,,2.0,,1.0,3.0,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DXCM,1093557,DEXCOM INC,no_risk_section,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCNCA,798941,FIRST CITIZENS BANCSHARES INC /DE/,analyzed,True,27,127216.0,2.0,2.0,0.0,5.0,0.0,17.0,0.0,0.0,1.0,0.0,,,,1.0,5.0,,3.0,,1.0,,,1.0,,,,,,,,,,2.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRDO,1807794,Credo Technology Group Holding Ltd,analyzed,True,57,175321.0,28.0,3.0,1.0,7.0,2.0,7.0,0.0,0.0,9.0,0.0,,3.0,,8.0,4.0,,3.0,2.0,18.0,,1.0,5.0,2.0,,2.0,,3.0,,,,1.0,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CINF,20286,CINCINNATI FINANCIAL CORP,no_risk_section,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLEX,866374,FLEX LTD.,analyzed,True,32,108493.0,4.0,0.0,0.0,3.0,0.0,8.0,0.0,3.0,14.0,0.0,,2.0,,14.0,1.0,,7.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,
STZ,16918,"CONSTELLATION BRANDS, INC.",analyzed,True,22,83412.0,3.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,10.0,0.0,,,,9.0,,,2.0,,1.0,1.0,1.0,,1.0,,,,,,,,1.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPG,1880661,TPG Inc.,analyzed,True,42,425899.0,16.0,3.0,3.0,7.0,2.0,5.0,0.0,0.0,6.0,0.0,,,,6.0,6.0,,5.0,2.0,,,3.0,10.0,6.0,,2.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CQP,1383650,"Cheniere Energy Partners, L.P.",analyzed,True,5,115206.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWK,1410636,"American Water Works Company, Inc.",analyzed,True,4,94065.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,2.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIIB,875045,BIOGEN INC.,analyzed,True,8,221067.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,,,,2.0,,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
ES,72741,EVERSOURCE ENERGY,analyzed,True,10,41650.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE,1031296,FIRSTENERGY CORP,analyzed,True,21,94521.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,4.0,4.0,2.0,,10.0,,,,,,,,,,1.0,,,,,,,,,,,4.0,,,,,,,,,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,
TPR,1116132,"TAPESTRY, INC.",analyzed,True,37,76712.0,21.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,,,,7.0,8.0,,,,,14.0,,5.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMC,29989,OMNICOM GROUP INC.,analyzed,True,5,42963.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STLD,1022671,STEEL DYNAMICS INC,analyzed,True,5,40223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL,922224,PPL Corp,analyzed,True,11,104048.0,3.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,,,,,1.0,,1.0,,,,1.0,2.0,,,1.0,1.0,1.0,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFG,759944,CITIZENS FINANCIAL GROUP INC/RI,analyzed,True,14,61545.0,4.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,,,,2.0,5.0,,1.0,,,,,3.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
AVB,915912,AVALONBAY COMMUNITIES INC,analyzed,True,9,70190.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,1.0,1.0,,1.0,,,,1.0,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAB,1736297,"Astera Labs, Inc.",analyzed,True,28,161337.0,8.0,0.0,1.0,13.0,2.0,3.0,1.0,0.0,0.0,0.0,,5.0,,,8.0,,2.0,2.0,,,,5.0,,,,,3.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
PHM,822416,PULTEGROUP INC/MI/,analyzed,True,17,45598.0,2.0,0.0,2.0,10.0,0.0,2.0,0.0,0.0,1.0,0.0,,,,,10.0,,2.0,,,,2.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIS,40704,GENERAL MILLS INC,no_risk_section,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STE,1757898,STERIS plc,analyzed,True,9,68368.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,,,,4.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRM,1020569,IRON MOUNTAIN INC,analyzed,True,46,69737.0,1.0,0.0,1.0,33.0,0.0,1.0,0.0,0.0,10.0,0.0,,31.0,,6.0,2.0,,1.0,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
RF,1281761,REGIONS FINANCIAL CORP,analyzed,True,6,123621.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,,,,,1.0,,3.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNP,1130310,CENTERPOINT ENERGY INC,analyzed,True,35,150797.0,2.0,1.0,1.0,4.0,0.0,12.0,0.0,3.0,12.0,0.0,,3.0,,5.0,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,2.0,1.0,5.0,,11.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
LULU,1397187,lululemon athletica inc.,analyzed,True,12,101917.0,2.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,,,,4.0,4.0,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLTO,1967680,Veralto Corp,analyzed,True,32,123780.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,28.0,0.0,,,,28.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
OWL,1823945,BLUE OWL CAPITAL INC.,analyzed,True,39,313696.0,9.0,2.0,1.0,5.0,0.0,3.0,0.0,0.0,18.0,1.0,,2.0,,17.0,3.0,1.0,3.0,,,,1.0,8.0,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
HAL,45012,HALLIBURTON CO,no_risk_section,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDOS,1336920,"Leidos Holdings, Inc.",analyzed,True,21,125023.0,9.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,,,,2.0,2.0,,1.0,,,,1.0,7.0,1.0,,3.0,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDY,1094285,TELEDYNE TECHNOLOGIES INC,analyzed,True,24,86463.0,5.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,13.0,1.0,,,,12.0,3.0,,,,,,,3.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
EQR,906107,EQUITY RESIDENTIAL,no_risk_section,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVN,1090012,DEVON ENERGY CORP/DE,analyzed,True,15,68149.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,0.0,,,,3.0,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JBL,898293,JABIL INC,analyzed,True,14,72236.0,5.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,2.0,0.0,,,,1.0,2.0,,2.0,,,,,3.0,2.0,,,,,,,,1.0,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
HUBB,48898,HUBBELL INC,analyzed,True,5,48528.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOT,1642896,Samsara Inc.,analyzed,True,34,228239.0,4.0,2.0,2.0,8.0,2.0,16.0,0.0,0.0,0.0,0.0,,3.0,,,5.0,,7.0,2.0,1.0,1.0,1.0,2.0,,,1.0,,,1.0,,,,,,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSTG,1474432,"Pure Storage, Inc.",analyzed,True,14,91236.0,2.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,4.0,0.0,,1.0,,4.0,5.0,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
FWONA,1560385,Liberty Media Corp,analyzed,True,18,137150.0,4.0,1.0,0.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,,,,,7.0,,5.0,,,,,3.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW,1758730,Tradeweb Markets Inc.,analyzed,True,34,182499.0,3.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,15.0,6.0,,2.0,,15.0,5.0,,,,,,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,1.0,,,,,,,
PPG,79879,PPG INDUSTRIES INC,analyzed,True,4,24667.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTAP,1002047,"NetApp, Inc.",analyzed,True,14,169346.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPQ,47217,HP INC,analyzed,True,23,98659.0,6.0,2.0,1.0,2.0,0.0,6.0,0.0,0.0,6.0,0.0,1.0,,,4.0,1.0,1.0,3.0,,,,1.0,3.0,,,1.0,,2.0,,,,1.0,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TROW,1113169,PRICE T ROWE GROUP INC,analyzed,True,24,69924.0,7.0,1.0,1.0,2.0,0.0,7.0,0.0,0.0,6.0,0.0,,,,6.0,1.0,3.0,,,3.0,,1.0,1.0,,,1.0,,,,,,,,,,7.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITE,1633978,Lumentum Holdings Inc.,analyzed,True,4,141924.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAT,1000697,WATERS CORP /DE/,no_risk_section,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE,1664703,Bloom Energy Corp,no_risk_section,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VRSN,1014473,VERISIGN INC/CA,analyzed,True,19,56960.0,2.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,1.0,0.0,,12.0,,1.0,3.0,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEY,91576,KEYCORP /NEW/,analyzed,True,33,168177.0,5.0,3.0,1.0,3.0,0.0,11.0,1.0,0.0,9.0,0.0,,,,9.0,3.0,,3.0,,1.0,,1.0,3.0,1.0,,1.0,,,,,1.0,,1.0,,,8.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
RIVN,1874178,"Rivian Automotive, Inc. / DE",analyzed,True,27,267749.0,10.0,1.0,1.0,3.0,2.0,3.0,1.0,0.0,6.0,0.0,,1.0,,5.0,2.0,,3.0,2.0,,,1.0,7.0,3.0,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ON,1097864,ON SEMICONDUCTOR CORP,analyzed,True,8,84167.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,,2.0,,1.0,2.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL,1037038,RALPH LAUREN CORP,analyzed,True,27,93017.0,4.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,8.0,1.0,,,,8.0,14.0,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
EIX,827052,EDISON INTERNATIONAL,no_risk_section,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSM,719955,WILLIAMS SONOMA INC,analyzed,True,27,109502.0,14.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,8.0,0.0,,,,8.0,4.0,,,,1.0,11.0,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPRX,1802768,Royalty Pharma plc,analyzed,True,14,151966.0,5.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,,,,2.0,3.0,,1.0,,,,1.0,4.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTHR,1082554,UNITED THERAPEUTICS Corp,analyzed,True,11,88080.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,3.0,1.0,6.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPAY,1175454,"CORPAY, INC.",analyzed,True,18,88152.0,2.0,1.0,0.0,9.0,0.0,2.0,0.0,0.0,4.0,0.0,,2.0,,4.0,7.0,,2.0,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRM,1820953,"Affirm Holdings, Inc.",analyzed,True,36,161367.0,15.0,2.0,6.0,5.0,0.0,1.0,0.0,0.0,7.0,0.0,,,,7.0,5.0,,,,5.0,2.0,4.0,3.0,3.0,,2.0,,2.0,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
LH,920148,LABCORP HOLDINGS INC.,analyzed,True,15,76559.0,10.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,2.0,5.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,60086,LOEWS CORP,analyzed,True,20,154520.0,4.0,0.0,0.0,9.0,0.0,4.0,0.0,0.0,3.0,0.0,,1.0,,,8.0,,4.0,,,,,4.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
LUV,92380,SOUTHWEST AIRLINES CO,analyzed,True,29,98384.0,2.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,19.0,0.0,,,,19.0,6.0,,,,,,1.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS,811156,CMS ENERGY CORP,analyzed,True,9,56020.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,,4.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSNC,1402436,SS&C Technologies Holdings Inc,analyzed,True,51,171096.0,12.0,26.0,3.0,5.0,0.0,2.0,2.0,0.0,1.0,0.0,,3.0,,1.0,2.0,,1.0,,1.0,,2.0,4.0,7.0,,6.0,,,1.0,1.0,,,19.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
DRI,940944,DARDEN RESTAURANTS INC,analyzed,True,5,66212.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,3.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG,1527166,Carlyle Group Inc.,analyzed,True,78,377945.0,15.0,3.0,0.0,4.0,0.0,6.0,0.0,0.0,48.0,2.0,,2.0,,46.0,1.0,,3.0,,1.0,2.0,,10.0,1.0,1.0,3.0,,,,,,1.0,,,,3.0,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
TSN,100493,"TYSON FOODS, INC.",analyzed,True,4,50074.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTC,857005,PTC INC.,analyzed,True,30,45046.0,1.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,21.0,0.0,,,,20.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,5.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,
PODD,1145197,INSULET CORP,analyzed,True,9,68758.0,3.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,,,,,2.0,,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
NVR,906163,NVR INC,analyzed,False,0,27260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOST,1650164,"Toast, Inc.",analyzed,True,24,199122.0,13.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,3.0,0.0,,1.0,,3.0,3.0,3.0,1.0,,2.0,,1.0,5.0,2.0,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
